"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"HARSH VILLA SERVICE APPARTMENT","4.3","15","","","","","https://www.google.com/maps/place/HARSH+VILLA+SERVICE+APPARTMENT/data=!4m10!3m9!1s0x3bd4bf7c9c0d96c9:0x8d32e2687eea1d40!5m2!4m1!1i1!8m2!3d21.1017235!4d79.0891024!16s%2Fg%2F11l74634q2!19sChIJyZYNnHy_1DsRQB3qfmjiMo0?authuser=0&hl=en&rclk=1"
"OYO Hotel Happy Stay","3.0","2","","","","","https://www.google.com/maps/place/OYO+Hotel+Happy+Stay/data=!4m10!3m9!1s0x3bd4c781764008b3:0x1d46b2c7ec59341e!5m2!4m1!1i1!8m2!3d21.1738613!4d79.1516013!16s%2Fg%2F11vxzfftsc!19sChIJswhAdoHH1DsRHjRZ7MeyRh0?authuser=0&hl=en&rclk=1"
"OYO Flagship Hotel VNP","4.5","4","","","","","https://www.google.com/maps/place/OYO+Flagship+Hotel+VNP/data=!4m10!3m9!1s0x3bd4b914599f0aad:0x2441d916ad4f52c1!5m2!4m1!1i1!8m2!3d21.102757!4d79.162289!16s%2Fg%2F11tmrw2rg0!19sChIJrQqfWRS51DsRwVJPrRbZQSQ?authuser=0&hl=en&rclk=1"
"SPOT ON 46277 Hotel Blue Diamond","3.2","672","","","46277 Hotel Blue Diamond 3","","https://www.google.com/maps/place/SPOT+ON+46277+Hotel+Blue+Diamond/data=!4m10!3m9!1s0x3bd4c736708aaef7:0x15b9290f631cded2!5m2!4m1!1i1!8m2!3d21.152898!4d79.095811!16s%2Fg%2F1tdrcv5z!19sChIJ966KcDbH1DsR0t4cYw8puRU?authuser=0&hl=en&rclk=1"
"OYO Friends Hotel","5.0","1","","","","","https://www.google.com/maps/place/OYO+Friends+Hotel/data=!4m10!3m9!1s0x3bd4bf078bbe8579:0xa984dd722abc12a3!5m2!4m1!1i1!8m2!3d21.0272423!4d79.0664984!16s%2Fg%2F11w1w1gghh!19sChIJeYW-iwe_1DsRoxK8KnLdhKk?authuser=0&hl=en&rclk=1"
"Flagship Gopika Stay Inn","2.7","30","","","","","https://www.google.com/maps/place/Flagship+Gopika+Stay+Inn/data=!4m10!3m9!1s0x3bd4c16777706121:0xcbb2abb967a66591!5m2!4m1!1i1!8m2!3d21.1408213!4d79.0632036!16s%2Fg%2F11tfkdd30h!19sChIJIWFwd2fB1DsRkWWmZ7mrsss?authuser=0&hl=en&rclk=1"
"FabHotel Dreamz Inn","4.9","30","","","","","https://www.google.com/maps/place/FabHotel+Dreamz+Inn/data=!4m10!3m9!1s0x3bd495bb8defff05:0xbd9c327dee40c1bf!5m2!4m1!1i1!8m2!3d21.11307!4d79.00855!16s%2Fg%2F11lm_kb3ht!19sChIJBf_vjbuV1DsRv8FA7n0ynL0?authuser=0&hl=en&rclk=1"
"OYO Hotel Krishna Villa","3.8","49","","","","","https://www.google.com/maps/place/OYO+Hotel+Krishna+Villa/data=!4m10!3m9!1s0x3bd4eb5a0359ec59:0xa0c4f8b0ed1d2f67!5m2!4m1!1i1!8m2!3d21.0739035!4d79.0882798!16s%2Fg%2F11sfq9dq00!19sChIJWexZA1rr1DsRZy8d7bD4xKA?authuser=0&hl=en&rclk=1"
"OYO Hotel The Heaven Inn","2.6","8","","","","","https://www.google.com/maps/place/OYO+Hotel+The+Heaven+Inn/data=!4m10!3m9!1s0x3bd4c183c3d8a113:0x967c23c932e16d17!5m2!4m1!1i1!8m2!3d21.1122556!4d79.0734322!16s%2Fg%2F11vzf_ywq7!19sChIJE6HYw4PB1DsRF23hMskjfJY?authuser=0&hl=en&rclk=1"
"OYO Hotel Sky View Stay In","3.0","2","","","","","https://www.google.com/maps/place/OYO+Hotel+Sky+View+Stay+In/data=!4m10!3m9!1s0x3bd4b96cc58d2391:0xdd3ee19337ef4795!5m2!4m1!1i1!8m2!3d21.0658703!4d79.1284536!16s%2Fg%2F11vsyn5dkq!19sChIJkSONxWy51DsRlUfvN5PhPt0?authuser=0&hl=en&rclk=1"
