"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"StayVista at Green Embrace","5.0","2","","","","","https://www.google.com/maps/place/StayVista+at+Green+Embrace/data=!4m10!3m9!1s0x3bd4f35b0790a75f:0xc361d6b6bdf30750!5m2!4m1!1i2!8m2!3d21.106439!4d78.751804!16s%2Fg%2F11y2l1rrbf!19sChIJX6eQB1vz1DsRUAfzvbbWYcM?authuser=0&hl=en&rclk=1"
"Hotel Ganraj","3.7","611","","","","","https://www.google.com/maps/place/Hotel+Ganraj/data=!4m10!3m9!1s0x3bd4c0c011f8b8d1:0x723922bbd7faa9b1!5m2!4m1!1i2!8m2!3d21.1452269!4d79.0838033!16s%2Fg%2F1vyn29y8!19sChIJ0bj4EcDA1DsRsan617siOXI?authuser=0&hl=en&rclk=1"
"Hotel North View","3.9","362","","","","","https://www.google.com/maps/place/Hotel+North+View/data=!4m10!3m9!1s0x3bd4c0967e112a21:0xf502f83559065cc6!5m2!4m1!1i2!8m2!3d21.1386636!4d79.0840636!16s%2Fg%2F1tdflqs4!19sChIJISoRfpbA1DsRxlwGWTX4AvU?authuser=0&hl=en&rclk=1"
"Sheetal farms","3.7","95","","","","","https://www.google.com/maps/place/Sheetal+farms/data=!4m10!3m9!1s0x3bd4ed3b9e27c9ed:0x82eaade25d8e144!5m2!4m1!1i2!8m2!3d21.1308799!4d78.9075442!16s%2Fg%2F11rr8k_5_9!19sChIJ7cknnjvt1DsRROHYJd6qLgg?authuser=0&hl=en&rclk=1"
"MASALA ZONE (MULTI CUISINE RESTAURANT)","3.7","42","","","","","https://www.google.com/maps/place/MASALA+ZONE+%28MULTI+CUISINE+RESTAURANT%29/data=!4m10!3m9!1s0x3bd4c1e427fab477:0x5d7d5b537d350fbf!5m2!4m1!1i2!8m2!3d21.1414523!4d79.0962236!16s%2Fg%2F11h919x358!19sChIJd7T6J-TB1DsRvw81fVNbfV0?authuser=0&hl=en&rclk=1"
"Konaark’s Arka Hotels","1.0","1","","","","","https://www.google.com/maps/place/Konaark%E2%80%99s+Arka+Hotels/data=!4m10!3m9!1s0x3bd4c1c427739f5b:0xd4184de44be5bf57!5m2!4m1!1i2!8m2!3d21.1590707!4d79.0802359!16s%2Fg%2F11w25q5nl8!19sChIJW59zJ8TB1DsRV7_lS-RNGNQ?authuser=0&hl=en&rclk=1"
"Shivalik Inn","4.4","29","","","","","https://www.google.com/maps/place/Shivalik+Inn/data=!4m10!3m9!1s0x3bd4c13d5d15a8d5:0x9d77eb870687be35!5m2!4m1!1i2!8m2!3d21.1599589!4d79.0776429!16s%2Fg%2F11h4bzbz47!19sChIJ1agVXT3B1DsRNb6HBofrd50?authuser=0&hl=en&rclk=1"
"The WhiteHall","4.1","1,000","","","","","https://www.google.com/maps/place/The+WhiteHall/data=!4m10!3m9!1s0x3bd4c7905820cfaf:0x93db095702890b0c!5m2!4m1!1i2!8m2!3d21.182556!4d79.1153061!16s%2Fg%2F11g047qyph!19sChIJr88gWJDH1DsRDAuJAlcJ25M?authuser=0&hl=en&rclk=1"
"Polo Rooms LIC Square","3.4","15","","","","","https://www.google.com/maps/place/Polo+Rooms+LIC+Square/data=!4m10!3m9!1s0x3bd4c0e4f0014ded:0x7a13e672f4396622!5m2!4m1!1i2!8m2!3d21.1598755!4d79.077963!16s%2Fg%2F11bx8hh173!19sChIJ7U0B8OTA1DsRImY59HLmE3o?authuser=0&hl=en&rclk=1"
"Shri Gujrat Lodge","3.8","415","","","","","https://www.google.com/maps/place/Shri+Gujrat+Lodge/data=!4m10!3m9!1s0x3bd4c094e3d986af:0x7b1226388190e472!5m2!4m1!1i2!8m2!3d21.1424874!4d79.0847307!16s%2Fg%2F1tm0984z!19sChIJr4bZ45TA1DsRcuSQgTgmEns?authuser=0&hl=en&rclk=1"
"Polo Rooms Dhantoli","3.6","7","","","","","https://www.google.com/maps/place/Polo+Rooms+Dhantoli/data=!4m10!3m9!1s0x3bd4c09646699751:0x413d1269ba202a76!5m2!4m1!1i2!8m2!3d21.1369134!4d79.0853531!16s%2Fg%2F11bw_52nd5!19sChIJUZdpRpbA1DsRdiogumkSPUE?authuser=0&hl=en&rclk=1"
"CHANDRAJYOTI VILLA HOME STAY. Property description Chandrajyoti Villa, a property with a garden and a terrace,","4.9","7","","","","","https://www.google.com/maps/place/CHANDRAJYOTI+VILLA+HOME+STAY.+Property+description+Chandrajyoti+Villa,+a+property+with+a+garden+and+a+terrace,/data=!4m10!3m9!1s0x3bd4bf56556199ad:0x9ecdc63f69e35572!5m2!4m1!1i2!8m2!3d21.1145338!4d79.0390144!16s%2Fg%2F11l749x4r2!19sChIJrZlhVVa_1DsRclXjaT_GzZ4?authuser=0&hl=en&rclk=1"
"Bhartiya Niwas Lodge","3.4","23","","","","","https://www.google.com/maps/place/Bhartiya+Niwas+Lodge/data=!4m10!3m9!1s0x3bd4c0cb241c805f:0x6bedc6b39824aaa0!5m2!4m1!1i2!8m2!3d21.149961!4d79.1074788!16s%2Fg%2F11bbtn2h76!19sChIJX4AcJMvA1DsRoKokmLPG7Ws?authuser=0&hl=en&rclk=1"
"Anant Shree Guest House","3.8","75","","","","","https://www.google.com/maps/place/Anant+Shree+Guest+House/data=!4m10!3m9!1s0x3bd4c094e1fd6a2b:0x698c5bba9014f5a9!5m2!4m1!1i2!8m2!3d21.1427749!4d79.0844938!16s%2Fg%2F1tks4sqx!19sChIJK2r94ZTA1DsRqfUUkLpbjGk?authuser=0&hl=en&rclk=1"
"Lokmangal Lodge","3.8","93","","","","","https://www.google.com/maps/place/Lokmangal+Lodge/data=!4m10!3m9!1s0x3bd4c0bfa20ab2d3:0xafad82f5bb752883!5m2!4m1!1i2!8m2!3d21.1436225!4d79.0893587!16s%2Fg%2F1tnpcwzx!19sChIJ07IKor_A1DsRgyh1u_WCra8?authuser=0&hl=en&rclk=1"
"DAISY DUPLEX","5.0","4","","","","","https://www.google.com/maps/place/DAISY+DUPLEX/data=!4m10!3m9!1s0x3bd4bf0078854aed:0x63cb459311ed5f4c!5m2!4m1!1i2!8m2!3d21.1055054!4d79.0662371!16s%2Fg%2F11wbfmlw69!19sChIJ7UqFeAC_1DsRTF_tEZNFy2M?authuser=0&hl=en&rclk=1"
"Villa Casa feliz","","","","","","","https://www.google.com/maps/place/Villa+Casa+feliz/data=!4m10!3m9!1s0x3bd495000f2daa5d:0xcb6ec8feeb67cc4a!5m2!4m1!1i2!8m2!3d21.0492225!4d78.9595392!16s%2Fg%2F11lmcstp8n!19sChIJXaotDwCV1DsRSsxn6_7Ibss?authuser=0&hl=en&rclk=1"
"Skyline Serenity","5.0","1","","","","","https://www.google.com/maps/place/Skyline+Serenity/data=!4m10!3m9!1s0x3bd4bf006c2d31d7:0x8eb7e1711ea0c914!5m2!4m1!1i2!8m2!3d21.045682!4d79.0395515!16s%2Fg%2F11w96v51dr!19sChIJ1zEtbAC_1DsRFMmgHnHht44?authuser=0&hl=en&rclk=1"
"Gurudeo Lodge","3.8","5","","","","","https://www.google.com/maps/place/Gurudeo+Lodge/data=!4m10!3m9!1s0x3bd4c094c5555555:0xa4c116888176cde5!5m2!4m1!1i2!8m2!3d21.1427659!4d79.0841369!16s%2Fg%2F1v5_7wxv!19sChIJVVVVxZTA1DsR5c12gYgWwaQ?authuser=0&hl=en&rclk=1"
