"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Gorewada Selfie Point","4.4","56","","","","","https://www.google.com/maps/place/Gorewada+Selfie+Point/data=!4m7!3m6!1s0x3bd4c1b54629e21b:0xa4976f5d26f529ef!8m2!3d21.1905643!4d79.0362705!16s%2Fg%2F11frrsl3d9!19sChIJG-IpRrXB1DsR7yn1Jl1vl6Q?authuser=0&hl=en&rclk=1"
"Sakkardara Lake","3.7","1,818","","","","","https://www.google.com/maps/place/Sakkardara+Lake/data=!4m7!3m6!1s0x3bd4b8aa1f90c9ed:0xa1a1697b602b8946!8m2!3d21.1221753!4d79.1149983!16s%2Fg%2F1tdbpb4l!19sChIJ7cmQH6q41DsRRokrYHtpoaE?authuser=0&hl=en&rclk=1"
"Mankapur Square","4.3","40","","","","","https://www.google.com/maps/place/Mankapur+Square/data=!4m7!3m6!1s0x3bd4c10786351359:0xb2ad535d32fbe171!8m2!3d21.1875634!4d79.0789346!16s%2Fg%2F11trjv5flq!19sChIJWRM1hgfB1DsRceH7Ml1TrbI?authuser=0&hl=en&rclk=1"
"Nagpur diamond level crossing","4.7","28","","","","","https://www.google.com/maps/place/Nagpur+diamond+level+crossing/data=!4m7!3m6!1s0x3bd4c10b3e4770cb:0x56652925741f6241!8m2!3d21.1583714!4d79.0899049!16s%2Fg%2F11vb3p6h5m!19sChIJy3BHPgvB1DsRQWIfdCUpZVY?authuser=0&hl=en&rclk=1"
"Telankhedi Garden celebrations, Nagpur","4.1","2,023","","","","","https://www.google.com/maps/place/Telankhedi+Garden+celebrations,+Nagpur/data=!4m7!3m6!1s0x3bd4c045a68174b1:0xf41c0165de5e272d!8m2!3d21.1549708!4d79.0509397!16s%2Fg%2F1tv3m44n!19sChIJsXSBpkXA1DsRLSde3mUBHPQ?authuser=0&hl=en&rclk=1"
"Gowari Shahid Smarak","4.4","55","","","","","https://www.google.com/maps/place/Gowari+Shahid+Smarak/data=!4m7!3m6!1s0x3bd4c0ec16cb28d9:0xb1f954d83a5bf7cc!8m2!3d21.149368!4d79.0804666!16s%2Fg%2F1q666976w!19sChIJ2SjLFuzA1DsRzPdbOthU-bE?authuser=0&hl=en&rclk=1"
"Lord Buddha Park","4.6","35","","","","","https://www.google.com/maps/place/Lord+Buddha+Park/data=!4m7!3m6!1s0x3bd4c1f12ca7e567:0x587bf0b9f8103d9c!8m2!3d21.1274613!4d79.0677385!16s%2Fg%2F11h91pktxb!19sChIJZ-WnLPHB1DsRnD0Q-Lnwe1g?authuser=0&hl=en&rclk=1"
"Telangkhedi Hanuman Mandir","4.7","3,491","","","","","https://www.google.com/maps/place/Telangkhedi+Hanuman+Mandir/data=!4m7!3m6!1s0x3bd4c04eeb323239:0x73a324366ea2b88b!8m2!3d21.1583147!4d79.0493298!16s%2Fg%2F1w9x_kn1!19sChIJOTIy607A1DsRi7iibjYko3M?authuser=0&hl=en&rclk=1"
"Kabir Farmhouse","4.4","9","","","","","https://www.google.com/maps/place/Kabir+Farmhouse/data=!4m7!3m6!1s0x3bd4c13ff4cf5171:0xc765d9704f2951fd!8m2!3d21.1371938!4d79.0958863!16s%2Fg%2F11nmj48w7q!19sChIJcVHP9D_B1DsR_VEpT3DZZcc?authuser=0&hl=en&rclk=1"
"The Nagpur Bus Station - Nagpur City, Maharashtra, India","5.0","2","","","","","https://www.google.com/maps/place/The+Nagpur+Bus+Station+-+Nagpur+City,+Maharashtra,+India/data=!4m7!3m6!1s0x3bd4c1be88ffad87:0x8a3cbd8d09a74a51!8m2!3d21.1458004!4d79.0881546!16s%2Fg%2F11l2wrjvk3!19sChIJh63_iL7B1DsRUUqnCY29PIo?authuser=0&hl=en&rclk=1"
"Shri Agyaram Devi Mandir Trust","4.4","1,109","","","","","https://www.google.com/maps/place/Shri+Agyaram+Devi+Mandir+Trust/data=!4m7!3m6!1s0x3bd4c0b8f5bc6fc9:0x85b42e634ac5a93f!8m2!3d21.1437995!4d79.0954874!16s%2Fg%2F1tg4zwr_!19sChIJyW-89bjA1DsRP6nFSmMutIU?authuser=0&hl=en&rclk=1"
"Ek rupaya chowk","3.0","4","","","","","https://www.google.com/maps/place/Ek+rupaya+chowk/data=!4m7!3m6!1s0x3bd4c71b3bbcab1f:0x5e792d2979953fa5!8m2!3d21.1562868!4d79.1153635!16s%2Fg%2F11sry_7482!19sChIJH6u8OxvH1DsRpT-VeSkteV4?authuser=0&hl=en&rclk=1"
"Nagpur Maharastra Ambazari Ordnance factory","3.7","3","","","","","https://www.google.com/maps/place/Nagpur+Maharastra+Ambazari+Ordnance+factory/data=!4m7!3m6!1s0x3bd4c18581a18595:0xf4d86c66bb19e198!8m2!3d21.1458004!4d79.0881546!16s%2Fg%2F11swn41zst!19sChIJlYWhgYXB1DsRmOEZu2Zs2PQ?authuser=0&hl=en&rclk=1"
"Futala","4.2","544","","Park  524W+C8X Futala Lake RdOpen","On","","https://www.google.com/maps/place/Futala/data=!4m7!3m6!1s0x3bd4c11223cc4f2b:0xf3c8481e294d4101!8m2!3d21.1561133!4d79.0458697!16s%2Fg%2F11tfgf2wdr!19sChIJK0_MIxLB1DsRAUFNKR5IyPM?authuser=0&hl=en&rclk=1"
"Sitabuldi fort","4.3","41","","","","","https://www.google.com/maps/place/Sitabuldi+fort/data=!4m7!3m6!1s0x3bd4c10046194917:0x84b68e14319a9339!8m2!3d21.1488265!4d79.0843655!16s%2Fm%2F051x3nq!19sChIJF0kZRgDB1DsROZOaMRSOtoQ?authuser=0&hl=en&rclk=1"
